study,dv,direction,cluster,correlated_with,r,warning
ehmi_for_all_chi26,SUS8,higher_is_better,ux_satisfaction,usability,-0.4672984024906906,possible reverse coding
ehmi_for_all_chi26,SUS9,higher_is_better,ux_satisfaction,SUS10,-0.44190566283996174,possible reverse coding
ehmi_for_all_chi26,SUS9,higher_is_better,ux_satisfaction,SUS2,-0.5444225088718901,possible reverse coding
ehmi_for_all_chi26,SUS9,higher_is_better,ux_satisfaction,SUS4,-0.3452204368134944,possible reverse coding
ehmi_for_all_chi26,SUS9,higher_is_better,ux_satisfaction,SUS6,-0.5754394816003617,possible reverse coding
ehmi_for_all_chi26,perceived_safety,higher_is_better,safety_trust,tia_item_06,-0.38797168413403693,possible reverse coding
ehmi_for_all_chi26,tia_item_01,higher_is_better,safety_trust,tia_item_04,-0.584010212554828,possible reverse coding
ehmi_for_all_chi26,tia_item_01,higher_is_better,safety_trust,tia_item_06,-0.5955544107991363,possible reverse coding
ehmi_for_all_chi26,tia_item_02,higher_is_better,safety_trust,tia_item_04,-0.4313678258105775,possible reverse coding
ehmi_for_all_chi26,tia_item_02,higher_is_better,safety_trust,tia_item_06,-0.5359642665646895,possible reverse coding
ehmi_for_all_chi26,tia_item_03,higher_is_better,safety_trust,tia_item_04,-0.7320485058361199,possible reverse coding
ehmi_for_all_chi26,tia_item_03,higher_is_better,safety_trust,tia_item_06,-0.8212461533091889,possible reverse coding
ehmi_for_all_chi26,tia_item_04,higher_is_better,safety_trust,tia_item_01,-0.584010212554828,possible reverse coding
ehmi_for_all_chi26,tia_item_04,higher_is_better,safety_trust,tia_item_02,-0.4313678258105775,possible reverse coding
ehmi_for_all_chi26,tia_item_04,higher_is_better,safety_trust,tia_item_03,-0.7320485058361199,possible reverse coding
ehmi_for_all_chi26,tia_item_04,higher_is_better,safety_trust,tia_item_05,-0.7714260677613649,possible reverse coding
ehmi_for_all_chi26,tia_item_05,higher_is_better,safety_trust,tia_item_04,-0.7714260677613649,possible reverse coding
ehmi_for_all_chi26,tia_item_05,higher_is_better,safety_trust,tia_item_06,-0.7753657381347505,possible reverse coding
ehmi_for_all_chi26,tia_item_06,higher_is_better,safety_trust,perceived_safety,-0.38797168413403693,possible reverse coding
ehmi_for_all_chi26,tia_item_06,higher_is_better,safety_trust,tia_item_01,-0.5955544107991363,possible reverse coding
ehmi_for_all_chi26,tia_item_06,higher_is_better,safety_trust,tia_item_02,-0.5359642665646895,possible reverse coding
ehmi_for_all_chi26,tia_item_06,higher_is_better,safety_trust,tia_item_03,-0.8212461533091889,possible reverse coding
ehmi_for_all_chi26,tia_item_06,higher_is_better,safety_trust,tia_item_05,-0.7753657381347505,possible reverse coding
ehmi_for_all_chi26,tia_item_06,higher_is_better,safety_trust,trust_rating,-0.3778640468261204,possible reverse coding
ehmi_for_all_chi26,trust_rating,higher_is_better,safety_trust,tia_item_06,-0.3778640468261204,possible reverse coding
ehmi_for_all_chi26,usability,higher_is_better,ux_satisfaction,SUS10,-0.6998229400242426,possible reverse coding
ehmi_for_all_chi26,usability,higher_is_better,ux_satisfaction,SUS2,-0.7678196205777682,possible reverse coding
ehmi_for_all_chi26,usability,higher_is_better,ux_satisfaction,SUS4,-0.6461219296084328,possible reverse coding
ehmi_for_all_chi26,usability,higher_is_better,ux_satisfaction,SUS6,-0.8117533114786458,possible reverse coding
ehmi_for_all_chi26,usability,higher_is_better,ux_satisfaction,SUS8,-0.4672984024906906,possible reverse coding
roads_chi25,AOA_SATISFYING,higher_is_better,ux_satisfaction,SUS10,-0.739526649986869,possible reverse coding
roads_chi25,AOA_SATISFYING,higher_is_better,ux_satisfaction,SUS4,-0.6434590786388196,possible reverse coding
roads_chi25,AOA_SATISFYING,higher_is_better,ux_satisfaction,SUS6,-0.40290312247111315,possible reverse coding
roads_chi25,SUS1,higher_is_better,ux_satisfaction,SUS2,-0.7678574463701422,possible reverse coding
roads_chi25,SUS1,higher_is_better,ux_satisfaction,SUS6,-0.46991491232524374,possible reverse coding
roads_chi25,SUS1,higher_is_better,ux_satisfaction,SUS8,-0.8245720679495968,possible reverse coding
roads_chi25,SUS10,higher_is_better,ux_satisfaction,AOA_SATISFYING,-0.739526649986869,possible reverse coding
roads_chi25,SUS10,higher_is_better,ux_satisfaction,SUS7,-0.3010607667159583,possible reverse coding
roads_chi25,SUS10,higher_is_better,ux_satisfaction,usability,-0.5898532507459312,possible reverse coding
roads_chi25,SUS2,higher_is_better,ux_satisfaction,SUS1,-0.7678574463701422,possible reverse coding
roads_chi25,SUS2,higher_is_better,ux_satisfaction,SUS3,-0.8741684749669767,possible reverse coding
roads_chi25,SUS2,higher_is_better,ux_satisfaction,SUS5,-0.6400707779564277,possible reverse coding
roads_chi25,SUS2,higher_is_better,ux_satisfaction,SUS7,-0.5675590185171411,possible reverse coding
roads_chi25,SUS2,higher_is_better,ux_satisfaction,SUS9,-0.519594788713777,possible reverse coding
roads_chi25,SUS2,higher_is_better,ux_satisfaction,usability,-0.7677413214727535,possible reverse coding
roads_chi25,SUS3,higher_is_better,ux_satisfaction,SUS2,-0.8741684749669767,possible reverse coding
roads_chi25,SUS3,higher_is_better,ux_satisfaction,SUS6,-0.45837437743975185,possible reverse coding
roads_chi25,SUS3,higher_is_better,ux_satisfaction,SUS8,-0.9235783257181567,possible reverse coding
roads_chi25,SUS4,higher_is_better,ux_satisfaction,AOA_SATISFYING,-0.6434590786388196,possible reverse coding
roads_chi25,SUS4,higher_is_better,ux_satisfaction,SUS7,-0.3072170237920474,possible reverse coding
roads_chi25,SUS4,higher_is_better,ux_satisfaction,usability,-0.5396441868330843,possible reverse coding
roads_chi25,SUS5,higher_is_better,ux_satisfaction,SUS2,-0.6400707779564277,possible reverse coding
roads_chi25,SUS5,higher_is_better,ux_satisfaction,SUS6,-0.3480160787765668,possible reverse coding
roads_chi25,SUS5,higher_is_better,ux_satisfaction,SUS8,-0.56534285639528,possible reverse coding
roads_chi25,SUS6,higher_is_better,ux_satisfaction,AOA_SATISFYING,-0.40290312247111315,possible reverse coding
roads_chi25,SUS6,higher_is_better,ux_satisfaction,SUS1,-0.46991491232524374,possible reverse coding
roads_chi25,SUS6,higher_is_better,ux_satisfaction,SUS3,-0.45837437743975185,possible reverse coding
roads_chi25,SUS6,higher_is_better,ux_satisfaction,SUS5,-0.3480160787765668,possible reverse coding
roads_chi25,SUS6,higher_is_better,ux_satisfaction,SUS9,-0.3639340238704942,possible reverse coding
roads_chi25,SUS6,higher_is_better,ux_satisfaction,usability,-0.6705831690820602,possible reverse coding
roads_chi25,SUS7,higher_is_better,ux_satisfaction,SUS10,-0.3010607667159583,possible reverse coding
roads_chi25,SUS7,higher_is_better,ux_satisfaction,SUS2,-0.5675590185171411,possible reverse coding
roads_chi25,SUS7,higher_is_better,ux_satisfaction,SUS4,-0.3072170237920474,possible reverse coding
roads_chi25,SUS7,higher_is_better,ux_satisfaction,SUS8,-0.5809705346127428,possible reverse coding
roads_chi25,SUS8,higher_is_better,ux_satisfaction,SUS1,-0.8245720679495968,possible reverse coding
roads_chi25,SUS8,higher_is_better,ux_satisfaction,SUS3,-0.9235783257181567,possible reverse coding
roads_chi25,SUS8,higher_is_better,ux_satisfaction,SUS5,-0.56534285639528,possible reverse coding
roads_chi25,SUS8,higher_is_better,ux_satisfaction,SUS7,-0.5809705346127428,possible reverse coding
roads_chi25,SUS8,higher_is_better,ux_satisfaction,SUS9,-0.5427964243013862,possible reverse coding
roads_chi25,SUS8,higher_is_better,ux_satisfaction,usability,-0.8267087451308909,possible reverse coding
roads_chi25,SUS9,higher_is_better,ux_satisfaction,SUS2,-0.519594788713777,possible reverse coding
roads_chi25,SUS9,higher_is_better,ux_satisfaction,SUS6,-0.3639340238704942,possible reverse coding
roads_chi25,SUS9,higher_is_better,ux_satisfaction,SUS8,-0.5427964243013862,possible reverse coding
roads_chi25,usability,higher_is_better,ux_satisfaction,SUS10,-0.5898532507459312,possible reverse coding
roads_chi25,usability,higher_is_better,ux_satisfaction,SUS2,-0.7677413214727535,possible reverse coding
roads_chi25,usability,higher_is_better,ux_satisfaction,SUS4,-0.5396441868330843,possible reverse coding
roads_chi25,usability,higher_is_better,ux_satisfaction,SUS6,-0.6705831690820602,possible reverse coding
roads_chi25,usability,higher_is_better,ux_satisfaction,SUS8,-0.8267087451308909,possible reverse coding
